Feature,Importance,Zone
24hrTempHDD_NWPP,0.29737088,"Puget Sound Energy, Inc."
24hrTempHDD_Yakima,0.13794234,"Puget Sound Energy, Inc."
temperature_NWPP,0.05373765,"Puget Sound Energy, Inc."
1WTempHDD_Yakima,0.041127536,"Puget Sound Energy, Inc."
time,0.039068338,"Puget Sound Energy, Inc."
24hrTempHDD_Seattle,0.037383668,"Puget Sound Energy, Inc."
24hrMaxTempDelt_NWPP,0.032264642,"Puget Sound Energy, Inc."
1WTempHDD_Reno,0.030914254,"Puget Sound Energy, Inc."
1WTempCDD_Reno,0.02960359,"Puget Sound Energy, Inc."
temperature_Vancouver,0.024389833,"Puget Sound Energy, Inc."
temperature_Seattle,0.0235379,"Puget Sound Energy, Inc."
24hrMaxTempDelt_Spokane,0.015457487,"Puget Sound Energy, Inc."
24hrTempHDD_Vancouver,0.01334498,"Puget Sound Energy, Inc."
1WTempCDD_Yakima,0.010995388,"Puget Sound Energy, Inc."
temperature_Spokane,0.010114017,"Puget Sound Energy, Inc."
day,0.008981792,"Puget Sound Energy, Inc."
temperature_Klamath Falls,0.008499455,"Puget Sound Energy, Inc."
1WTempHDD_Salt Lake City,0.008488354,"Puget Sound Energy, Inc."
temperature_Portland,0.007995339,"Puget Sound Energy, Inc."
1WMaxTempDelt_Vancouver,0.007224874,"Puget Sound Energy, Inc."
24hrTempCDD_NWPP,0.0070889606,"Puget Sound Energy, Inc."
24hrTempCDD_Medford,0.006809756,"Puget Sound Energy, Inc."
dewpoint_NWPP,0.0064363857,"Puget Sound Energy, Inc."
year,0.0061442065,"Puget Sound Energy, Inc."
cloudCover_Eugene,0.005818216,"Puget Sound Energy, Inc."
24hrMaxTempDelt_Seattle,0.005571253,"Puget Sound Energy, Inc."
temperature_Yakima,0.0051662447,"Puget Sound Energy, Inc."
1WMaxTempDelt_Yakima,0.0048486795,"Puget Sound Energy, Inc."
dewpoint_Seattle,0.004221202,"Puget Sound Energy, Inc."
1WMaxTempDelt_Spokane,0.004073037,"Puget Sound Energy, Inc."
24hrTempCDD_Tacoma,0.0034725287,"Puget Sound Energy, Inc."
24hrTempCDD_Vancouver,0.0033464513,"Puget Sound Energy, Inc."
temperature_Eugene,0.003123967,"Puget Sound Energy, Inc."
1WMaxTempDelt_Seattle,0.0031189506,"Puget Sound Energy, Inc."
dewpoint_Tacoma,0.002570177,"Puget Sound Energy, Inc."
