Feature,Importance,Zone
windChill_NWPP,0.256374,"Puget Sound Energy, Inc."
windChill_Spokane,0.14502403,"Puget Sound Energy, Inc."
time,0.08781225,"Puget Sound Energy, Inc."
windChill_Portland,0.07901227,"Puget Sound Energy, Inc."
heatIndex_NWPP,0.06093885,"Puget Sound Energy, Inc."
windChill_Vancouver,0.043228533,"Puget Sound Energy, Inc."
heatIndex_Vancouver,0.042507764,"Puget Sound Energy, Inc."
temperature_Seattle,0.029834686,"Puget Sound Energy, Inc."
heatIndex_Seattle,0.028684478,"Puget Sound Energy, Inc."
heatIndex_Spokane,0.028368387,"Puget Sound Energy, Inc."
temperature_Spokane,0.025755133,"Puget Sound Energy, Inc."
windChill_Seattle,0.016705636,"Puget Sound Energy, Inc."
temperature_Vancouver,0.013350992,"Puget Sound Energy, Inc."
day,0.01301542,"Puget Sound Energy, Inc."
year,0.010518289,"Puget Sound Energy, Inc."
dewpoint_NWPP,0.008333435,"Puget Sound Energy, Inc."
heatIndex_Portland,0.005949146,"Puget Sound Energy, Inc."
month,0.005818534,"Puget Sound Energy, Inc."
dewpoint_Billings,0.0052657775,"Puget Sound Energy, Inc."
heatIndex_Yakima,0.004559735,"Puget Sound Energy, Inc."
heatIndex_Boise,0.004421835,"Puget Sound Energy, Inc."
temperature_Medford,0.003272853,"Puget Sound Energy, Inc."
windChill_Salt Lake City,0.0028717665,"Puget Sound Energy, Inc."
weighted_hdd_NWPP,0.002813623,"Puget Sound Energy, Inc."
heatIndex_Tacoma,0.002646574,"Puget Sound Energy, Inc."
temperature_Yakima,0.0026317178,"Puget Sound Energy, Inc."
heatIndex_Pendleton,0.0022580915,"Puget Sound Energy, Inc."
dewpoint_Pendleton,0.0018897649,"Puget Sound Energy, Inc."
dewpoint_Vancouver,0.0018620809,"Puget Sound Energy, Inc."
temperature_avg_NWPP,0.0017688877,"Puget Sound Energy, Inc."
relativeHumidity_NWPP,0.0016917192,"Puget Sound Energy, Inc."
dewpoint_Portland,0.0016568565,"Puget Sound Energy, Inc."
relativeHumidity_Spokane,0.0016432205,"Puget Sound Energy, Inc."
dewpoint_Seattle,0.0015598997,"Puget Sound Energy, Inc."
temperature_min_Seattle,0.0012952813,"Puget Sound Energy, Inc."
temperature_avg_Tacoma,0.001186034,"Puget Sound Energy, Inc."
cloudCover_Seattle,0.0011344405,"Puget Sound Energy, Inc."
windChill_Reno,0.0011306416,"Puget Sound Energy, Inc."
cloudCover_NWPP,0.0011111668,"Puget Sound Energy, Inc."
temperature_Tacoma,0.0010708966,"Puget Sound Energy, Inc."
relativeHumidity_Yakima,0.0010408943,"Puget Sound Energy, Inc."
date,0.0009950201,"Puget Sound Energy, Inc."
temperature_Pendleton,0.00092337705,"Puget Sound Energy, Inc."
windChill_Pendleton,0.00087457575,"Puget Sound Energy, Inc."
dewpoint_Klamath Falls,0.00085047015,"Puget Sound Energy, Inc."
temperature_avg_Vancouver,0.00081449904,"Puget Sound Energy, Inc."
dewpoint_Medford,0.00075568905,"Puget Sound Energy, Inc."
temperature_NWPP,0.00074253144,"Puget Sound Energy, Inc."
dewpoint_Salt Lake City,0.0007258257,"Puget Sound Energy, Inc."
